,SC_het,SC_iso,UCLD_het,UCLD_iso
heterochronous_bounds_1,-5106.808104,-5219.511186,-5110.261843,-5175.347308
heterochronous_bounds_2,-5113.739606,-5237.775848,-5116.46881,-5186.807256
heterochronous_bounds_3,-4601.052012,-4736.036849,-4604.076385,-4682.19306
heterochronous_bounds_4,-4301.667317,-4434.976437,-4304.955854,-4377.984688
heterochronous_bounds_5,-5337.598534,-5459.81921,-5341.157888,-5420.043755
heterochronous_bounds_6,-5879.100327,-6007.338514,-5882.934644,-5956.593139
heterochronous_bounds_7,-5949.364488,-6051.443589,-5953.396658,-6023.421507
heterochronous_bounds_8,-5292.293761,-5414.273531,-5295.3774,-5372.757722
heterochronous_bounds_9,-5438.190797,-5548.126093,-5441.198537,-5510.84107
heterochronous_bounds_10,-5875.351712,-5976.731893,-5878.698428,-5946.005726
heterochronous_unbound_1,-5105.178525,-5219.511186,-5108.114648,-5175.347308
heterochronous_unbound_2,-5112.312089,-5237.775848,-5114.693275,-5186.807256
heterochronous_unbound_3,-4598.946853,-4736.036849,-4602.307651,-4682.19306
heterochronous_unbound_4,-4300.136127,-4434.976437,-4303.528802,-4377.984688
heterochronous_unbound_5,-5335.745886,-5459.81921,-5338.91249,-5420.043755
heterochronous_unbound_6,-5877.654659,-6007.338514,-5881.25436,-5956.593139
heterochronous_unbound_7,-5948.137295,-6051.443589,-5952.356759,-6023.421507
heterochronous_unbound_8,-5290.617424,-5414.273531,-5294.184881,-5372.757722
heterochronous_unbound_9,-5436.042069,-5548.126093,-5440.18833,-5510.84107
heterochronous_unbound_10,-5874.060887,-5976.731893,-5876.857641,-5946.005726
ultrametric_bounds_1,-3776.696696,-3726.573431,-3764.399877,-3730.067491
ultrametric_bounds_2,-3953.578699,-3913.227606,-3947.38687,-3915.982365
ultrametric_bounds_3,-3883.736177,-3840.185369,-3882.489832,-3844.128435
ultrametric_bounds_4,-4327.889983,-4205.930408,-4259.283425,-4210.038311
ultrametric_bounds_5,-3764.897528,-3696.661893,-3730.946082,-3699.135515
ultrametric_bounds_6,-4138.334769,-4041.165838,-4082.241037,-4044.29772
ultrametric_bounds_7,-4457.398924,-4281.181275,-4324.106578,-4283.536608
ultrametric_bounds_8,-3788.723893,-3680.03688,-3714.017277,-3682.861885
ultrametric_bounds_9,-4890.960464,-4702.836086,-4747.658585,-4705.144734
ultrametric_bounds_10,-3370.204696,-3337.014135,-3373.337623,-3340.436027
ultrametric_unbound_1,-3743.299768,-3726.573431,-3750.012791,-3730.067491
ultrametric_unbound_2,-3931.309601,-3913.227606,-3936.444493,-3915.982365
ultrametric_unbound_3,-3869.762784,-3840.185369,-3876.263003,-3844.128435
ultrametric_unbound_4,-4234.610708,-4205.930408,-4240.465685,-4210.038311
ultrametric_unbound_5,-3715.468743,-3696.661893,-3720.434013,-3699.135515
ultrametric_unbound_6,-4061.74133,-4041.165838,-4067.837819,-4044.29772
ultrametric_unbound_7,-4306.937481,-4281.181275,-4311.061564,-4283.536608
ultrametric_unbound_8,-3692.820341,-3680.03688,-3698.639619,-3682.861885
ultrametric_unbound_9,-4726.416719,-4702.836086,-4732.79003,-4705.144734
ultrametric_unbound_10,-3357.317174,-3337.014135,-3363.813157,-3340.436027
